# SHOT START
# legend_version=3
# time_base=ms_since_boot
# units: pressure=bar, flow=ml_s, output=percent, derivative=bar_s
# raw_p = raw pressure sensor reading
# flt_p = filtered pressure used by controller
# sp_raw = raw incoming pressure setpoint currently held by the profile engine
# sp_flt = filtered pressure setpoint actually used internally by the controller
# sp_recipe = visual recipe reference; ideal profile target for display/comparison
# sp_ctrl = control reference after internal conditioning; command seen by control logic
# sp_flt_d = derivative of filtered pressure setpoint
# ctrl_out = final controller output command in percent
# pump_duty = internal normalized pressure-branch duty estimate
# pump_flow = estimated pump flow
# coffee_flow = estimated outflow through puck / coffee flow
# u_raw = pressure branch output after clamp and before final slew limiter
# u_applied = pressure branch output after final slew limiter
# u_delta = u_raw - u_applied; limiter intervention magnitude
# limiter_active_up = 1 when rise slew limiter is active
# limiter_active_down = 1 when drop slew limiter is active
# error_integral = integral state of legacy pressure controller
# u_unclamped_raw = controller output before 0..100 clamp
# u_clamped_raw = controller output after 0..100 clamp and before slew limiter
# u_clamp_delta = u_unclamped_raw - u_clamped_raw
# clamp_active_high = 1 when output was clipped by upper clamp
# clamp_active_low = 1 when output was clipped by lower clamp
# u_fb = legacy pressure feedback contribution
# u_ff_hold = static feedforward contribution
# u_ff_dyn = dynamic feedforward contribution
# u_ff_dyn_raw = raw dynamic feedforward request before FF-path LPF and slew limiting
# ff_pressure_w = pressure-window weight applied to dynamic FF
# ff_above_w = above-target suppression weight applied to dynamic FF
# ff_gamma = ramp-dependent gamma multiplier applied to dynamic FF
# u_ff_total = total feedforward contribution
# ramp_hold_active = 1 when the downstream drop-rate hold is active during ramp-up
# drop_rate_active = active downstream output drop-rate cap in percent per second
# mpc_shadow_enabled = 1 when shadow MPC is being computed in parallel
# mpc_u_shadow = total output suggested by shadow MPC; not applied to actuator in shadow stage
# mpc_u_ss = steady-state component suggested by shadow MPC
# mpc_u_trim = corrective trim component suggested by shadow MPC
# mpc_p1_pred = one-step pressure prediction from shadow MPC model
# mpc_pn_pred = terminal pressure prediction at end of shadow MPC horizon
# mpc_qout_est = estimated outflow / load used by shadow MPC model
# mpc_qout_raw = instantaneous outflow / load estimate before shadow-MPC LPF
# mpc_residual = measured minus predicted pressure residual for shadow MPC
# mpc_residual_bias = low-pass residual bias term added to shadow predictions
# mpc_cost = shadow MPC objective value
# power_cmd = floating-point power command sent to pump stage before integer quantization
# power_psm_quantized = integer power actually sent to PSM
# power_quant_residual = sigma-delta residual kept for next quantization step
# tach_period_us = measured time between valid tach pulses in microseconds
# tach_rpm_inst = instantaneous RPM derived from tach_period_us and pulses-per-revolution
# tach_rpm_ema = exponentially filtered published RPM intended for easier visual analysis
# tach_rpm_count_window = RPM derived from ISR-accepted pulse counts over a fixed time window
# tach_rpm_count_window_pcnt_raw = RPM derived from raw PCNT hardware counts over the same window (diagnostic only)
# tach_pcnt_ratio = raw PCNT pulse count divided by ISR-accepted pulse count in the current window
# tach_rpm_pub = RPM value selected for operational use after comparing period and count-window estimates
# tach_quality_ok = 1 when period and count-window RPM agree within tolerance
# tach_rpm_source = 0=none, 1=period branch, 2=count-window fallback
# tach_pulse_count = total number of valid tach pulses seen since the last reset
# tach_glitch_rejects = number of tach edges rejected as implausibly fast glitches or plausibility failures
# tach_pcnt_healthy = 1 when raw PCNT windows have matched ISR-accepted windows for multiple consecutive updates
# tach_timeout = 1 when no recent tach pulse is available and RPM is forced to zero
ms,raw_p,flt_p,sp_raw,sp_flt,sp_recipe,sp_ctrl,sp_flt_d,ctrl_out,pump_duty,pump_flow,coffee_flow,u_raw,u_applied,u_delta,limiter_active_up,limiter_active_down,error_integral,u_unclamped_raw,u_clamped_raw,u_clamp_delta,clamp_active_high,clamp_active_low,u_fb,u_ff_hold,u_ff_dyn,u_ff_dyn_raw,ff_pressure_w,ff_above_w,ff_gamma,u_ff_total,ramp_hold_active,drop_rate_active,mpc_shadow_enabled,mpc_u_shadow,mpc_u_ss,mpc_u_trim,mpc_p1_pred,mpc_pn_pred,mpc_qout_est,mpc_qout_raw,mpc_residual,mpc_residual_bias,mpc_cost,power_cmd,power_psm_quantized,power_quant_residual,tach_period_us,tach_rpm_inst,tach_rpm_ema,tach_rpm_count_window,tach_rpm_count_window_pcnt_raw,tach_pcnt_ratio,tach_rpm_pub,tach_quality_ok,tach_rpm_source,tach_pulse_count,tach_glitch_rejects,tach_pcnt_healthy,tach_timeout
30675,0.196,0.185,9.000,8.834,9.000,8.834,0.854,99.39,0.9939,13.888,0.000,99.39,99.39,0.00,0,0,-0.73250,99.39,99.39,0.00,0,0,97.51,0.00,1.88,0.15,0.02,1.000,1.004,1.88,0,255.00,1,100.00,99.67,5.00,0.171,0.104,15.194,16.923,0.025,-0.052,621.064,99.39,100,-0.4922,6703,4475.61,3404.66,3509.95,5468.99,1.558,3509.95,0,2,138,471,0,0
30807,0.212,0.208,9.000,8.892,9.000,8.892,0.556,99.01,0.9901,14.568,0.000,99.01,99.01,0.00,0,0,-0.73250,99.01,99.01,0.00,0,0,97.96,0.00,1.05,0.04,0.01,1.000,1.001,1.05,0,255.00,1,100.00,99.46,5.00,0.193,0.124,15.638,16.655,0.019,-0.042,621.131,99.01,99,-0.1363,7099,4225.95,3456.04,3509.95,5468.99,1.558,3509.95,0,2,153,504,0,0
30946,0.232,0.226,9.000,8.930,9.000,8.930,0.361,98.83,0.9883,15.072,0.000,98.83,98.83,0.00,0,0,-0.73250,98.83,98.83,0.00,0,0,98.25,0.00,0.58,0.01,0.00,1.000,1.000,0.58,0,255.00,1,100.00,99.36,5.00,0.213,0.152,15.909,16.519,0.021,-0.034,619.518,98.83,99,-0.4875,7225,4152.25,3482.35,3509.95,5468.99,1.558,3509.95,0,2,168,532,0,0
31079,0.257,0.249,9.000,8.954,9.000,8.954,0.235,98.74,0.9874,15.447,0.000,98.74,98.74,0.00,0,0,-0.73250,98.74,98.74,0.00,0,0,98.42,0.00,0.32,0.00,0.00,1.000,1.000,0.32,0,255.00,1,100.00,99.31,5.00,0.239,0.191,16.066,16.396,0.021,-0.027,615.974,98.74,99,-0.1864,7225,4152.25,3517.05,3553.46,5774.37,1.625,3553.46,0,2,185,573,0,0
31180,0.280,0.268,9.000,8.993,9.000,8.993,0.036,98.74,0.9874,16.267,0.000,98.74,98.74,0.00,0,0,-0.73250,98.74,98.74,0.00,0,0,98.72,0.00,0.02,0.00,0.00,1.000,1.000,0.02,0,255.00,1,100.00,99.31,5.00,0.265,0.252,16.431,16.473,0.017,-0.011,611.176,98.74,98,0.4633,7224,4152.82,3551.46,3553.46,5774.37,1.625,3553.46,0,2,196,601,0,0
31314,8.915,6.844,9.000,8.995,9.000,8.995,0.024,83.29,0.6270,15.077,0.000,62.70,83.29,-20.58,0,1,-0.92985,62.70,62.70,0.00,0,0,62.69,0.00,0.01,0.00,0.00,1.000,1.000,0.01,0,255.00,1,95.81,90.81,5.00,6.830,6.761,12.978,0.000,2.259,0.080,41.035,83.29,83,0.2720,8097,3705.08,3582.76,3553.46,5774.37,1.625,3705.08,1,1,211,679,0,0
31453,8.607,8.483,9.000,8.997,9.000,8.997,0.015,60.34,0.2904,12.668,0.000,29.04,60.34,-31.30,0,1,-0.99807,29.04,29.04,0.00,0,0,29.03,0.00,0.01,0.00,0.00,1.000,1.000,0.01,0,255.00,1,81.27,78.18,3.09,8.487,8.509,9.176,0.000,0.146,0.080,7.245,60.34,60,0.2306,7135,4204.62,3503.11,3419.54,5454.97,1.595,3419.54,0,2,226,880,0,0
31587,5.653,6.400,9.000,8.998,9.000,8.998,0.010,63.51,0.7048,10.849,0.000,70.48,63.51,6.98,1,0,-1.02273,70.48,70.48,0.00,0,0,70.48,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,84.93,79.93,5.00,6.411,6.463,6.487,0.000,-0.830,-0.022,57.747,63.51,63,0.2278,7187,4174.20,3472.85,3419.54,5454.97,1.595,3419.54,0,2,241,1035,0,0
31689,4.479,4.918,9.000,8.999,9.000,8.999,0.008,74.91,0.8505,10.367,0.000,85.05,74.91,10.15,1,0,-1.02273,85.05,85.05,0.00,0,0,85.05,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,91.20,86.20,5.00,4.899,4.811,7.396,12.974,-0.473,-0.080,141.359,74.91,75,0.3388,8385,3577.82,3485.32,3419.54,5454.97,1.595,3577.82,1,1,252,1129,0,0
31826,6.306,5.885,9.000,8.999,9.000,8.999,0.005,79.22,0.7922,9.940,0.000,79.22,79.22,0.00,0,0,-1.22346,79.22,79.22,0.00,0,0,79.22,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,93.57,88.57,5.00,5.899,5.965,7.581,4.163,0.466,-0.026,77.329,79.22,80,-0.4305,8272,3626.69,3384.91,3279.57,5359.30,1.634,3279.57,0,2,266,1270,0,0
31926,7.853,7.311,9.000,8.999,9.000,8.999,0.004,63.92,0.6118,9.274,0.000,61.18,63.92,-2.74,0,1,-1.34262,61.18,61.18,0.00,0,0,61.18,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,82.89,77.89,5.00,7.368,7.632,6.017,0.000,0.554,0.037,21.565,63.92,64,0.0624,7277,4122.58,3346.99,3279.57,5359.30,1.634,3279.57,0,2,276,1393,0,0
32063,7.883,7.909,9.000,9.000,9.000,9.000,0.002,50.92,0.5092,8.026,0.000,50.92,50.92,0.00,0,0,-1.44252,50.92,50.92,0.00,0,0,50.92,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,63.22,58.22,5.00,7.970,8.262,4.254,0.000,-0.090,0.049,7.631,50.92,51,-0.0193,6385,4698.51,3314.09,3279.57,5359.30,1.634,3279.57,0,2,293,1684,0,0
32163,6.850,7.156,9.000,9.000,9.000,9.000,0.002,62.32,0.6542,7.525,0.000,65.42,62.32,3.10,1,0,-1.44252,65.42,65.42,0.00,0,0,65.42,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,65.56,60.56,5.00,7.203,7.428,3.701,2.979,-0.391,0.006,22.093,62.32,62,-0.0868,8564,3503.04,3361.78,3375.94,5063.92,1.500,3503.04,1,1,304,1787,0,0
32296,7.427,7.165,9.000,9.000,9.000,9.000,0.001,67.09,0.6709,7.166,0.000,67.09,67.09,0.00,0,0,-1.56126,67.09,67.09,0.00,0,0,67.09,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,71.37,66.37,5.00,7.208,7.412,4.150,3.698,0.248,0.001,22.395,67.09,67,-0.1852,9077,3305.06,3354.51,3375.94,5063.92,1.500,3305.06,1,1,320,1881,0,0
32437,8.637,8.346,9.000,9.000,9.000,9.000,0.001,46.06,0.4439,6.427,0.000,44.39,46.06,-1.67,0,1,-1.65426,44.39,44.39,0.00,0,0,44.39,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,50.12,46.52,3.61,8.404,8.684,2.984,0.000,0.263,0.046,1.695,46.06,46,-0.0614,7729,3881.49,3364.97,3375.94,5063.92,1.500,3375.94,0,2,334,2137,0,0
32573,7.206,7.574,9.000,9.000,9.000,9.000,0.000,55.78,0.6160,5.817,0.000,61.60,55.78,5.82,1,0,-1.67346,61.60,61.60,0.00,0,0,61.60,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,54.59,49.59,5.00,7.610,7.781,2.663,4.675,-0.453,-0.001,13.208,55.78,56,0.1851,7970,3764.12,3284.70,3200.49,4080.62,1.275,3200.49,0,2,350,2311,0,0
32675,6.687,6.878,9.000,9.000,9.000,9.000,0.000,67.18,0.7324,5.791,0.000,73.24,67.18,6.06,1,0,-1.67346,73.24,73.24,0.00,0,0,73.24,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,71.48,66.48,5.00,6.891,6.953,4.161,10.682,-0.229,-0.034,34.512,67.18,67,-0.1506,7212,4159.73,3254.38,3200.49,4080.62,1.275,3200.49,0,2,359,2395,0,0
32808,8.209,7.829,9.000,9.000,9.000,9.000,0.000,58.92,0.5892,5.701,0.000,58.92,58.92,0.00,0,0,-1.81672,58.92,58.92,0.00,0,0,58.92,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,68.41,63.41,5.00,7.859,7.999,4.368,1.062,0.396,0.010,9.974,58.92,59,-0.3466,7247,4139.64,3228.08,3200.49,4080.62,1.275,3200.49,0,2,375,2547,0,0
32946,8.563,8.538,9.000,9.000,9.000,9.000,0.000,44.33,0.4433,5.122,0.000,44.33,44.33,0.00,0,0,-1.86667,44.33,44.33,0.00,0,0,44.33,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,48.86,46.30,2.56,8.577,8.767,3.088,0.000,-0.010,0.033,1.021,44.33,45,-0.2829,6824,4396.25,3269.02,3311.98,4523.68,1.366,3311.98,0,2,391,2737,0,0
33080,6.687,7.215,9.000,9.000,9.000,9.000,0.000,61.43,0.7097,4.962,0.000,70.97,61.43,9.54,1,0,-1.86667,70.97,70.97,0.00,0,0,70.97,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,66.28,61.28,5.00,7.220,7.244,3.874,10.191,-0.605,-0.033,25.205,61.43,62,-0.0929,6760,4437.87,3271.91,3311.98,4523.68,1.366,3311.98,0,2,405,2886,0,0
33183,7.004,6.965,9.000,9.000,9.000,9.000,0.000,72.83,0.7484,5.162,0.000,74.84,72.83,2.01,1,0,-1.86667,74.84,74.84,0.00,0,0,74.84,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,83.01,78.01,5.00,6.966,6.972,5.347,10.981,0.046,-0.040,34.208,72.83,73,-0.1329,7505,3997.34,3286.33,3311.98,4523.68,1.366,3311.98,0,2,415,2990,0,0
33318,8.916,8.493,9.000,9.000,9.000,9.000,0.000,54.10,0.4668,5.044,0.000,46.68,54.10,-7.42,0,1,-1.96044,46.68,46.68,0.00,0,0,46.68,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,64.41,61.52,2.89,8.522,8.661,4.475,0.000,0.444,0.029,2.516,54.10,54,0.1124,8481,3537.32,3243.07,3197.68,4077.04,1.275,3197.68,0,2,430,3239,0,0
33456,8.441,8.575,9.000,9.000,9.000,9.000,0.000,46.11,0.4611,4.574,0.000,46.11,46.11,0.00,0,0,-1.98934,46.11,46.11,0.00,0,0,46.11,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,50.21,47.81,2.39,8.605,8.750,3.164,0.000,-0.178,0.024,0.962,46.11,46,0.4537,6753,4442.47,3228.38,3197.68,4077.04,1.275,3197.68,0,2,445,3436,0,0
33591,6.605,7.073,9.000,9.000,9.000,9.000,0.000,63.21,0.7508,4.604,0.000,75.08,63.21,11.87,1,0,-1.98934,75.08,75.08,0.00,0,0,75.08,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,72.42,67.42,5.00,7.063,7.015,4.600,10.819,-0.519,-0.046,31.976,63.21,63,-0.0281,8358,3589.38,3291.74,3507.96,5304.72,1.512,3589.38,1,1,461,3610,0,0
33693,7.120,7.035,9.000,9.000,9.000,9.000,0.000,74.61,0.7564,4.882,0.000,75.64,74.61,1.04,1,0,-1.98934,75.64,75.64,0.00,0,0,75.64,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,87.98,82.98,5.00,7.030,7.008,5.909,10.876,0.105,-0.042,33.640,74.61,74,0.4839,7901,3796.99,3369.58,3507.96,5304.72,1.512,3507.96,0,2,472,3707,0,0
33827,9.006,8.516,9.000,9.000,9.000,9.000,0.000,52.89,0.4855,4.799,0.000,48.55,52.89,-4.34,0,1,-2.07858,48.55,48.55,0.00,0,0,48.55,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,66.57,63.76,2.80,8.537,8.635,4.885,0.000,0.528,0.027,3.543,52.89,53,0.1019,8087,3709.66,3454.28,3507.96,5304.72,1.512,3507.96,0,2,487,3953,0,0
33965,8.324,8.507,9.000,9.000,9.000,9.000,0.000,49.23,0.4923,4.415,0.000,49.23,49.23,0.00,0,0,-2.10887,49.23,49.23,0.00,0,0,49.23,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,54.57,51.74,2.83,8.533,8.655,3.475,0.192,-0.227,0.019,1.578,49.23,49,-0.2092,8537,3514.11,3437.33,3287.31,4848.78,1.475,3287.31,0,2,501,4183,0,0
34099,6.878,7.154,9.000,9.000,9.000,9.000,0.000,66.33,0.7566,4.548,0.000,75.66,66.33,9.33,1,0,-2.10887,75.66,75.66,0.00,0,0,75.66,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,77.25,72.25,5.00,7.144,7.101,5.040,10.698,-0.300,-0.043,29.798,66.33,67,-0.3285,6769,4431.97,3364.12,3287.31,4848.78,1.475,3287.31,0,2,515,4297,0,0
34201,7.652,7.367,9.000,9.000,9.000,9.000,0.000,73.01,0.7301,4.813,0.000,73.01,73.01,0.00,0,0,-2.15787,73.01,73.01,0.00,0,0,73.01,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,87.90,82.90,5.00,7.365,7.360,6.022,8.866,0.323,-0.029,24.127,73.01,73,-0.2903,7938,3779.29,3336.47,3287.31,4848.78,1.475,3287.31,0,2,525,4436,0,0
34340,9.079,8.755,9.000,9.000,9.000,9.000,0.000,50.06,0.4789,4.638,0.000,47.89,50.06,-2.17,0,1,-2.21509,47.89,47.89,0.00,0,0,47.89,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,61.00,59.66,1.34,8.778,8.888,4.526,0.000,0.338,0.033,1.637,50.06,50,-0.1564,6507,4610.42,3278.19,3077.28,4181.94,1.359,3077.28,0,2,540,4715,0,0
34478,8.252,8.466,9.000,9.000,9.000,9.000,0.000,52.25,0.5225,4.328,0.000,52.25,52.25,0.00,0,0,-2.24391,52.25,52.25,0.00,0,0,52.25,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,55.91,52.82,3.09,8.489,8.602,3.394,1.775,-0.261,0.013,1.724,52.25,52,0.2493,7412,4047.49,3180.15,3077.28,4181.94,1.359,3077.28,0,2,555,4972,0,0
34612,7.042,7.251,9.000,9.000,9.000,9.000,0.000,69.35,0.7622,4.534,0.000,76.22,69.35,6.87,1,0,-2.24391,76.22,76.22,0.00,0,0,76.22,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,79.57,74.57,5.00,7.243,7.206,5.133,10.551,-0.227,-0.042,26.609,69.35,69,0.1850,7801,3845.66,3129.95,3077.28,4181.94,1.359,3077.28,0,2,570,5111,0,0
